MANUFACTURER,YEAR,FLEET,STD,CAFE,VOLUME,SOURCE,CREDITS
NISSAN,2012,DP,32.9,35.2,524191,3,12056393
NISSAN,2012,IP,34.1,35.2,372087,3,4092957
NISSAN,2012,LT,26.1,24.4,331886,3,-5642062
SUBARU,2012,IP,33.8,35.5,106152,3,1804584
SUBARU,2012,LT,28.4,30.5,163860,3,3441060
SUZUKI,2012,IP,34.9,33.6,25266,3,-328458
SUZUKI,2012,LT,27,24.6,5997,3,-143928
TESLA,2012,DP,30.7,273.3,2952,3,7161552
TOYOTA,2012,DP,32.8,36.9,724174,3,29691134
TOYOTA,2012,IP,33.9,46,573847,3,69435487
TOYOTA,2012,LT,25.7,25.5,722227,3,-1444454
VOLVO,2012,IP,32.3,29.7,52375,3,-1361750
VOLVO,2012,LT,27,25.5,19432,3,-291480
VW,2012,DP,32.1,33.7,95583,3,1529328
VW,2012,IP,33.7,33,422053,3,-2954371
VW,2012,LT,26.8,26.9,77809,3,77809
ASTONMARTIN,2013,IP,34,20.1,364,3,-50596
BMW,2013,IP,33.2,33.1,303319,3,-303319
BMW,2013,LT,27,25.8,98969,3,-1187628
BYD,2013,IP,32.4,223.3,32,3,61088
CODA,2013,IP,254,36.5,37,3,-80475
DAIMLER,2013,IP,33.3,30.3,208828,2,-6264840
DAIMLER,2013,LT,26.7,24.4,89118,2,-2049714
FIATCHRYSLER,2013,DP,32.3,32.1,683191,2,-1366382
FIATCHRYSLER,2013,LT,25.8,24.5,763543,2,-9926059
FIATCHRYSLER,2013,IP,31.8,19.1,4117,2,-522859
FORD,2013,IP,32.3,31.4,6249,3,-56241
FORD,2013,DP,32.9,36.4,1160326,3,40611410
FORD,2013,LT,24.7,25,1233262,3,3699786
GM,2013,DP,33,33.6,1373432,3,8240592
GM,2013,LT,24.3,23.8,913765,3,-4568825
GM,2013,IP,36.5,41.1,58699,3,2700154
HONDA,2013,DP,33.9,39.1,881031,3,45813612
HONDA,2013,IP,36,41.8,140769,3,8164602
HONDA,2013,LT,27.5,28.5,472569,3,4725690
HYUNDAI,2013,IP,37.8,33.4,1060994,,46683736
HYUNDAI,2013,LT,28.1,28.3,38020,,-76040
JAGUARLANDROVER,2013,IP,30.9,26.2,16051,3,-754397
JAGUARLANDROVER,2013,LT,27.9,21.5,47510,3,-3040640
KIA,2013,IP,35.7,33.8,610711,,11603509
KIA,2013,LT,29.5,28.8,16914,,118398
LOTUS,2013,IP,35.1,27,170,3,-13770
MAZDA,2013,IP,34.8,39.4,164862,3,7583652
MAZDA,2013,LT,28.1,30.4,61093,3,1405139
McLAREN,2012,IP,33.2,24,412,3,-37904
MITSUBISHI,2013,IP,35,35.2,32654,3,65308
MITSUBISHI,2013,LT,29.5,33.2,13754,3,508898
NISSAN,2013,DP,33.5,41.4,654040,3,51669160
NISSAN,2013,IP,34.1,34.4,265607,3,796821
NISSAN,2013,LT,27,27.1,372970,3,372970
SUBARU,2013,IP,34.7,36,145705,3,1894165
SUBARU,2013,LT,29.2,33.3,211326,3,8664366
SUZUKI,2013,IP,35.9,33.6,10427,3,-239821
SUZUKI,2013,LT,29.4,26.7,1116,3,-30132
TESLA,2013,DP,31.4,277.7,17813,3,43873419
TOYOTA,2013,DP,33.9,36.4,698977,3,17474425
TOYOTA,2013,IP,34.1,44.4,648459,3,66791277
TOYOTA,2013,LT,26.5,26,915658,3,-4578290
VOLVO,2013,IP,33.1,30.1,42072,3,-1262160
VOLVO,2013,LT,27.6,25.1,31282,3,-782050
VW,2013,DP,32.8,35,128931,3,2836482
VW,2013,IP,34.4,34,452538,3,-1810152
VW,2013,LT,27.4,28.3,87875,3,790875
FIATCHRYSLER,2011,DP BANK,,,,,23702314
FIATCHRYSLER,2012,DP BANK,,,,,26571662
FIATCHRYSLER,2012,IP BANK,,,,,2551653
FIATCHRYSLER,2011,LT BANK,,,,,3636132
FIATCHRYSLER,2012,LT BANK,,,,,3759896
FORD,2012,IP BANK,,,,,1210000
BMW,2014,IP,33.6,35,297064,,-4158896
BMW,2014,LT,27.7,28.7,81322,,-813220
BYD2,2014,IP,,,,,0
DAIMLER,2014,IP,33.7,31.4,278503,,6405569
DAIMLER,2014,LT,27.3,24.5,92142,,2579976
FIATCHRYSLER,2014,DP,32.9,31.1,615401,,11077218
FIATCHRYSLER,2014,IP,33.8,28,48269,,2799602
FIATCHRYSLER,2014,LT,26.5,26,1424585,,7122925
FORD,2014,DP,34,36.6,1271853,,-33068178
FORD,2014,IP,34.8,30.9,1832,,71448
FORD,2014,LT,25.2,24.8,1101118,,4404472
GM,2014,DP,33.9,34.4,1470000,,-7350000
GM,2014,IP,37.1,40.9,89000,,-3382000
GM,2014,LT,24.4,25.1,1129000,,-7903000
HONDA,2014,DP,33.8,39.2,734028,,-39637512
HONDA,2014,IP,34.2,42,42358,,-3303924
HONDA,2014,LT,27.5,29.6,528650,,-11101650
HYUNDAI,2014,IP,34.4,37.3,312327,,-9057483
HYUNDAI,2014,LT,28.7,27.5,19916,,238992
JAGUARLANDROVER,2014,IP,32.3,27,12325,,653225
JAGUARLANDROVER,2014,LT,27.1,24.8,55211,,1269853
KIA,2014,IP,34.4,32.1,496420,,11417660
KIA,2014,LT,27.8,26.9,28147,,253323
LOTUS3,2014,IP,36,26.7,382,,35526
MAZDA,2014,IP,34.5,42.3,208877,,-16292406
MAZDA,2014,LT,31.4,28.8,80557,,2094482
MITSUBISHI,2014,IP,36.3,39.8,37414,,-1309490
MITSUBISHI,2014,LT,30.1,34.4,21896,,-941528
NISSAN,2014,DP,34.7,41.9,676020,,-48673440
NISSAN,2014,IP,34.2,33.1,241817,,2659987
NISSAN,2014,LT,27.3,27.7,370579,,-1482316
SUBARU,2014,IP,35.5,37,121560,,-1823400
SUBARU,2014,LT,29.8,34.5,230734,,-10844498
TESLA,2014,DP,32.1,276.7,15607,,-38174722
TOYOTA,2014,DP,34.4,39.1,1009764,,-47458908
TOYOTA,2014,IP,34.9,42.9,697107,,-55768560
TOYOTA,2014,LT,26.7,25.8,975759,,8781831
VOLKSWAGEN,2014,DP,33.6,37.7,102471,,-4201311
VOLKSWAGEN,2014,IP,34.9,34.1,384764,,3078112
VOLKSWAGEN,2014,LT,27.9,28.6,98913,,-692391
VOLVO,2014,IP,33.6,30.5,16666,,516646
VOLVO,2014,LT,28.2,26.1,15304,,321384
